TeamName,Discipline,Country,Event
Spain,Triathlon,Spain,Mixed Relay
Italy,Cycling Track,Italy,Women's Madison
Belarus,Swimming,Belarus,Men's 4 x 100m Medley Relay
Italy,Athletics,Italy,4 x 400m Relay Mixed
Poland,Athletics,Poland,Men's 4 x 400m Relay
ROC,Swimming,ROC,Men's 4 x 100m Medley Relay
Gottsu/Shiratori,Beach Volleyball,Japan,Men
Greece,Swimming,Greece,Men's 4 x 100m Medley Relay
Chinese Taipei,Archery,Chinese Taipei,Mixed Team
United States,Baseball/Softball,United States of America,Softball
Hungary,Swimming,Hungary,Mixed 4 x 100m Medley Relay
Brazil,Table Tennis,Brazil,Men's Team
McHugh/Schumann,Beach Volleyball,Australia,Men
Canada,Rugby Sevens,Canada,Women
Belgium,3x3 Basketball,Belgium,Men
United States,Athletics,United States of America,4 x 400m Relay Mixed
Republic of Korea,Archery,Republic of Korea,Mixed Team
United States,Swimming,United States of America,Women's 4 x 200m Freestyle Relay
United States,Rhythmic Gymnastics,United States of America,Group All-Around
Sweden,Table Tennis,Sweden,Men's Team
Netherlands,Archery,Netherlands,Men's Team
New Zealand,Football,New Zealand,Men
Latvia,3x3 Basketball,Latvia,Men
South Africa,Rugby Sevens,South Africa,Men
ROC,Rhythmic Gymnastics,ROC,Group All-Around
Lithuania,Cycling Track,Lithuania,Women's Team Sprint
United States,Table Tennis,United States of America,Men's Team
Ukraine,Artistic Gymnastics,Ukraine,Men's Team
Japan,Archery,Japan,Mixed Team
Netherlands,Athletics,Netherlands,Women's 4 x 400m Relay
Poland,Swimming,Poland,Women's 4 x 100m Freestyle Relay
United States,Volleyball,United States of America,Men
Egypt,Artistic Swimming,Egypt,Duet
Canada,Fencing,Canada,Women's Foil Team
Germany,Artistic Gymnastics,Germany,Men's Team
Denmark,Cycling Track,Denmark,Women's Madison
United States,Cycling Track,United States of America,Men's Madison
Jamaica,Athletics,Jamaica,4 x 400m Relay Mixed
Italy,Triathlon,Italy,Mixed Relay
United States,Swimming,United States of America,Mixed 4 x 100m Medley Relay
Canada,Cycling Track,Canada,Women's Madison
United States,Athletics,United States of America,Women's 4 x 400m Relay
China,Archery,People's Republic of China,Men's Team
Republic of Korea,Swimming,Republic of Korea,Women's 4 x 200m Freestyle Relay
Denmark,Athletics,Denmark,Women's 4 x 100m Relay
Hungary,Water Polo,Hungary,Women
Australia,Cycling Track,Australia,Women's Madison
Canada,Athletics,Canada,Women's 4 x 400m Relay
Uzbekistan,Rhythmic Gymnastics,Uzbekistan,Group All-Around
Hungary,Swimming,Hungary,Men's 4 x 200m Freestyle Relay
Japan,Water Polo,Japan,Men
Japan,Swimming,Japan,Mixed 4 x 100m Medley Relay
Saudi Arabia,Football,Saudi Arabia,Men
Republic of Korea,Football,Republic of Korea,Men
Brazil,Volleyball,Brazil,Women
Hungary,Fencing,Hungary,Women's Foil Team
United States,Cycling Track,United States of America,Women's Team Pursuit
Agatha/Duda,Beach Volleyball,Brazil,Women
LEBESSON Emmanuel / YUAN Jia Nan,Table Tennis,France,Mixed Doubles
Mexico,Archery,Mexico,Mixed Team
United States,Artistic Gymnastics,United States of America,Women's Team
Great Britain,Rugby Sevens,Great Britain,Men
Colombia,Athletics,Colombia,Men's 4 x 400m Relay
United States,Cycling Track,United States of America,Women's Madison
